0,1,2,3,4,5,6,7,8
11,announcement,"공고, 발표",67.0,rush,서두르다,123.0,disapprove,반대하다
12,department,(조직 및 기구의) 부서,68.0,unfortunately,"불행하게도, 유감스럽게도",124.0,do A a favor,A를 도와주다
13,permanently,"영구적으로, 불변으로",69.0,archive,기록보관소,125.0,do a good job,일을 잘 해내다
14,fulfill,"(조건을) 만족시키다, (약속 및 의무 등을) 지키다, 이행하다",70.0,be unwilling to do,~하기를 꺼리다,126.0,draw a distinction between,~사이에 구별을 짓다
15,outline,"개요, 설명하다, 약술하다",71.0,be up late,늦게까지 깨어있다,127.0,exposed,"노출된, 드러난"
16,explain,설명하다,72.0,blackout,정전,128.0,intensive,집중적인
17,contain,포함하다,73.0,board meeting,임원 회의,129.0,problematic,"문제가 있는, 확실치 않은"
18,compile,"(자료 등을) 편집하다, 모으다",74.0,board of directors,이사회,130.0,project coordinator,프로젝트 책임자
19,subsequent,"차후의, 그 다음의",75.0,cross one's arms,팔짱 끼다,131.0,project management,프로젝트 관리
20,overview,"개요, 개관",76.0,depressing,우울한,132.0,seating capacity,"좌석 수, 좌석 수용 능력"
21,provider,"공급자, 제공자",77.0,drag,~을 끌다,133.0,take care of,"~를 돌보다, 책임지다"
22,matter,"중요하다, 문제되다, 문제, 일",78.0,flod in half,반으로 접다,134.0,take on,(역할·일을) 떠맡다
23,expertise,"전문 지식, 전문 기술",79.0,fold up,접어 개다,135.0,tremendous,거대한
24,demonstrate,"증명하다, (모형 〮실험 등으로) 설명하다",80.0,frighten,놀라게 하다,136.0,under the new management,새경영진 하에서
25,remainder,나머지,81.0,keep going,"계속 살아가다, 계속 견디다",137.0,astute,기민한
26,essential,"필수적인, 극히 중요한, 본질적인",82.0,long-term,장기(長期)의,138.0,bring along,"~을 데리고 가다, ~을 갖고 가다"
27,divide,"분배하다, 나누다",83.0,look up to,~를 존경하다,139.0,compartment,"구획, 칸막이"
28,major,"주요한, 중대한",84.0,make a presentation,발표하다,140.0,give way to,~에게 양보하다
29,compliance,(명령 〮 법규에의) 준수,85.0,make a revision,수정하다,141.0,overwork,"과로, 과로하다"
30,clarify,명확하게 하다,86.0,make an error,실수를 범하다,142.0,put down,"~을 내려놓다, ~을 적다"
